493;Lycée Emiland Gauthey;30-oct.-15;Non;03 85 42 47 20;0711729u@ac-dijon.fr;23 Place du Collège - BP 10113 ;71321;CHALON SUR SAONE cedex;S;Non
494;Lycée PONTUS DE TYARD;27-déc.-13;Non;03 85 46 85 40;0710011b@ac-dijon.fr;13 rue des Gaillardons;71321;CHALON/SAONE   ;Oui;Non
495;Lycée Hilaire de Chardonnet;21-avr.-10;Non;03 85 97 22 44;0711422k@ac-dijon.fr;4 Rue Henri Dunant BP 110;71321;CHALON/SAONE CDX  ;Oui;Non
496;Lycée MATHIAS;21-avr.-10;Non;03 85 97 48 00;0710010a@ac-dijon.fr;Place Mathias BP 122;71321;CHALON/SAONE CDX  ;Non;Non
497;EMP - Lycée militaire d'Autun;23-sept.-14;Non;03 85 86 55 00;0711064w@ac-dijon.fr;3 rue Gaston Joliet ;71400;AUTUN   ;S;CPGE MP
498;Lycée SAINT LAZARE;22-oct.-15;Non;03 85 86 97 97;esca71@wanadoo.fr;7 Rue Saint Germain - BP 138;71400;AUTUN   ;Non;Non
499;Lycée BONAPARTE;14-nov.-07;Non;03 85.86.52.45;071001r@ac-dijon.fr / frederic.battle@ac-dijon.fr;Place du Champ de Mars;71403;AUTUN   ;Non;Non
500;Lycée HENRI VINCENOT;;Non;03 85 76 43 00;0710042h@ac-dijon.fr;Montée St Claude;71500;LOUHANS   ;Non;Non
501;Lycée JEANNE D'ARC;;Non;03 85 81 10 02;lyceedarc@wanadoo.fr;17 Rue Pasteur;71600;PARAY LE MONIAL ;Non;Non
502;Lycée GABRIEL VOISIN;21-avr.-10;Non;03 85 32 12 90;0710071s@ac-dijon.fr; Rue Saint Jean BP78;71700;TOURNUS   ;Non;Non
503;IUT;21/11/2007;Non;03 86 49 28 20;;Route des plaines de l'Yonne;89000;AUXERRE   ;Non;DUT OGP
504;Lycée Jean-Joseph Fourier;30-oct.-15;Non;03.86.72.53.10 ;0890005x@ac-dijon.fr;16 rue Raymond-Poincaré;89000;AUXERRE   ;S - STI2D;MS
505;Lycée JACQUES AMYOT;30-oct.-15;Non;03 86 94 21 70;0890003v@ac-dijon.fr;3 rue de l'Etang St Vigile;89015;AUXERRE CEDEX  ;S;CPGE PSI
506;Lycée privé Saint-Joseph-La Salle;22-avr.-10;Non;03 86 94 23 60;stjoseph@saint-joseph-auxerre.fr;1 Boulevard de la Marne;89015;AUXERRE CEDEX  ;1;Non
507;Lycée Catherine et Raymond Janot;30-oct.-15;Non;03 86 95 72 00;0891200w@ac-dijon.fr;1 place Walesa;89094;SENS   ;S - STI2D - STL;CPI - SN
508;Lycée ST ETIENNE;22-oct.-15;Non;03 86 65 82 10 ;secretariat-l@gscol-st-etienne.fr;2 Rue Louise et Léon Vernis;89100;SENS   ;S - STI2D;Non
509;Lycée PIERRE LAROUSSE;30-oct.-15;Non; 03 86 44 14 34;0891168l@ac-dijon.fr;6 Rue des Montagnes;89130;TOUCY   ;S;Non
510;Lycée privé Jeanne d'Arc;22-oct.-15;Non;03 86 34 12 20;ja.blondeau@fr.oleane.com;69 Rue A. Briand;89200;AVALLON   ;Non;S
511;Lycée DES CHAUMES;30-oct.-15;Non;03 86 34 92 40;0890008a@ac-dijon.fr;16 Avenue Parc des Chaumes;89206;AVALLON   ;S;Non
512;LEGTA d'Auxerre-la Brosse;;Non;03 86 94 60 00;legta.auxerre@educagri.fr;La Brosse;89290;VENOY   ;Oui;Non
513;Lycée Louis Davier;30-oct.-15;Non;03 86 92 40 00;0891199v@ac-dijon.fr;Rue Molière BP 247;89306;JOIGNY CEDEX  ;S - STI2D;AVA
514;Lycée Chevalier d'Eon;30-oct.-15;Non;03 86 55 08 01;0890032b@ac-dijon.fr;2 place Edmond-Jacob;89700;TONNERRE   ;S;ATI
515;Lycée professionnel Jacques Brel;;Non;01 48 92 99 40;ce.0940141t@ac-creteil.fr;90 avenue d'Alfortville;94600;CHOISY LE ROI ;Non;Oui
516;Lycée Boissy d'Anglas;;Non;04 75 32 29 77;Ce.0070001N@ac-grenoble.fr;50 Avenue Jean Jaurès BP 127;7104;ANNONAY   ;Oui;Oui
517;Lycée St DENIS;;Non;04 75 69 28 00;enseignementsuperieur@lycee-saintdenis.com;1 chemin Muette ;7104;ANNONAY   ;Oui;Oui
518;LEGTA - Lycée agricole Olivier de Serres;;Non;04 75 35 17 55;epl.aubenas@educagri.fr;Quartier Saint Martin;7200;AUBENAS   ;Oui;Non
519;Lycée Astier;16-oct.-12;Non;04 75.35.09.77;ce.0070004s@ac-grenoble.fr;Quartier Roqua BP 145;7200;AUBENAS   ;Oui;Oui
520;Lycée J. ALGOUD;;Non;04 75 82 61 30;ce.0261099d@ac-grenoble.fr;Rue de Laffemas BP 26;26000;VALENCE   ;Non;Non
521;Lycée Camille Vernet;5-juin-14;Non;04 75 42 11 55;Ce.0260035X@ac-grenoble.fr;160 rue Faventines;26021;VALENCE CEDEX  ;Oui;CPGE 
522;Lycée du Dauphiné;26-oct.-15;Non;04 75.02.28.93;Ce.0260023J@ac-grenoble.fr;Bd Rémi Roure;26100;ROMANS/ISERE   ;Oui;Oui
523;lycée du diois;;Non;04 75 22 03 43; ce.0260008T@ac-grenoble.fr;place Saint-Pierre ;26150;DIE   ;Oui;Oui
524;Lycée les Catalins;;Non;04 75.01.11.66;Ce.0260113G@ac-grenoble.fr;Chemin des Catalins BP 359;26216;MONTELIMAR   ;Oui;Oui
525;Lycée technique privé les Mandailles;;Non;04 75 68 61 22;chateauneuf-de-galaure@cneap.fr;Les Mandailles;26330;CHÂTEAUNEUF DE GALAURE ;Non;Non
526;IUT;;Non;04 75 41 88 00;;51 Rue B. de Laffemas  BP 29;26901;VALENCE CEDEX 9 ;Non;DUT
527;IUT;;Non;;;51 Rue B. de Laffemas  BP 29;26901;VALENCE CEDEX 9 ;Non;DUT
528;IUT;;Non;04.76.57.50.00;;17 quai Claude Bernard;38000;GRENOBLE   ;Non;DUT
529;IUT;;Oui;;;39-41 Boulevard Gambetta;38000;GRENOBLE   ;Non;DUT
530;Lycée André Argouges;;Non;04 76 44 48 05;Ce.0381603L@ac-grenoble.fr;61 rue Léon Jouhaux;38000;GRENOBLE   ;Oui;Oui
531;Lycée NOTRE DAME;;Non;04 76 86 68 10 ;lycee.externat-n-dame@ac-grenoble.fr;43 Avenue Marcelin;38000;GRENOBLE   ;Non;Non
532;Lycée polyvalent Louise Michel;;Non;04 38 12 36 00;Ce.0380034F@ac-grenoble.fr;30 rue Louise Michel;38000;GRENOBLE CEDEX 2 ;Non;Oui
533;Lycée polyvalent Vaucanson;;Non;04 76 96 55 18;ce.0380033e@ac-grenoble.fr;27 rue Anatole France;38000;GRENOBLE CEDEX 2 ;Oui;Oui
534;Lycée CHAMPOLLION;8-août-05;Non;04 76 85 59 59 ;ce.0380027y@ac-grenoble.fr;Cours la Fontaine;38026;GRENOBLE CEDEX  ;Non;Non
535;Lycée P. TERMIER;19-déc.-05;Non;04 76 54 57 81;lycee.pierretermier@wanadoo.fr;5bis Rue Joseph Fourier;38028;GRENOBLE   ;Non;Non
536;Lycée polyvalent André Argouges;21/10/2016;Oui;04 76 44 48 05;Ce.0381603L@ac-grenoble.fr;61 rue Léon Jouhaux;38029;GRENOBLE CEDEX 2 ;Oui;Oui
537;IUT;;Non;;Claude.Benoit@iut2.upmf-grenoble.fr;2 Place Doyen gosse;38031;GRENOBLE CEDEX  ;Non;DUT
538;Lycée PHILIBERT DELORME;;Non;04 74 27 19 00;ce.0382895r@ac-grenoble.fr;68 Boulevard St Hubert;38081;L'ISLE D'ABEAU  ;Non;Non
539;IUT;;Non;;;64 Rue du Creuzat   BP 5;38081;L'ISLE-D'ABEAU CEDEX  ;Non;DUT
540;IUT;;Non;;;64 Rue du Creuzat   BP 5;38081;L'ISLE-D'ABEAU CEDEX  ;Non;DUT
541;Lycée LEONARD DE VINCI;;Non;04 74 96 44 55;Ce.0382440W@ac-grenoble.fr;Boulevard de Villefontaine;38091;VILLEFONTAINE   ;S;Non
542;Lycée Polyvalent LA SAULAIE;;Non;04 76 64 06 06;ce.0380063m@ac-grenoble.fr;Avenue de la Saulaie - BP 80;38162;SAINT MARCELLIN CEDEX ;S;Non
543;Lycée ARISTIDE BERGES;;Non;04 76.26.42.42;ce.0382780r@ac-grenoble.fr;30 Avenue A. de Bergès BP 31;38171;SEYSSINET PARISET  ;Non;Non
544;Institution privée Saint-Charles;;Non;04 74 53 77 15;st-charles.vienne@wanadoo.fr;1 Place Capucins;38200;VIENNE   ;Oui;Non
545;LEGTA - Lycée AGROTEC de Vienne - Seyssuel;;Non;04 74 85 18 63;legta.vienne@educagri.fr;Montée Bon Accueil;38200;VIENNE   ;Oui;Non
546;Institution ROBIN;;Non;04 74 53 01 21;robin.vienne@38.scolanet.org;6 Place Saint Pierre – BP 329;38204;VIENNE CEDEX  ;Non;Non
547;Lycée GALILEE;16-nov.-05;Non;04 74.53.00.13 ;ce.0380083j.@ac-grenoble.fr;124 Av. Gén. Leclerc BP 145;38209;VIENNE CEDEX  ;Oui;Oui
548;Lycée Portes de l'Oisans;26-sept.-14;Non;04 76 68 09 22;Ce.0380089R@ac-grenoble.fr;960 avenue Aristide Briand;38220;VIZILLE   ;Oui;Oui
549;Lycée LA PLEIADE;;Non;04 72 46 92 00;Ce.0382838D@ac-grenoble.fr;Rue du Repos - BP 70;38230;PONT DE CHERUY ;Oui;Oui
550;Lycée DU GRESIVAUDAN;8-août-05;Non;04 76 90 30 53 ;ce.0382863F@ac-grenoble.fr;1 Avenue du Taillefer;38240;MEYLAN   ;Oui;Oui
551;LEGTA - LPA - Lycée agricole de la Côte Saint André;;Non;04 74 20 40 77;egta.cote-st-andre@educagri.fr;57 avenue Charles de Gaulle;38260;LA COTE SAINT ANDRE;Oui;Non
552;Lycée PRIVE STE MARIE;;Non;04 74 94 01 32;bernard.moulin@ext-sainte-marie.fr;Annexe la Verpillière - BP 31;38291;LA VERPILLIERE  ;Non;Non
553;Lycée l'Oiselet;11-oct.-12;Non;04 74.28.08.88 ;ce.0380008c@ac-grenoble.fr;Rue E. Marion BP 403;38300;BOURGOIN JALLIEU  ;Oui;Oui
554;Lycée Roger Deschaux;;Non;04 76 85 96 10;Ce.0382099A@ac-grenoble.fr;5 rue des Pies;38360;SASSENAGE   ;Oui;Oui
555;CFP Charmilles;;Non;04 76 03 74 00;info@cfp-charmilles.com;8 rue du Tour de l'Eau;38400;ST MARTIN D'HERES ;Non;Oui
556;Ecole des métiers de l'énergie Paul-Louis Merlin - Ecole privée schneider Electric;8-août-05;Non;04 76 29 84 20;jocelyne.lebeau@schneider-electric.com;41 Rue André Wallon;38400;ST MARTIN D'HERES ;Oui;Oui
557;Lycée MARGUERITE;13-déc.-06;Non;;;13 Place Galland;38400;ST MARTIN D'HERES ;Non;Non
558;Lycée PABLO NERUDA;;Non;04 76 25 07 22;Ce.0382203N@ac-grenoble.fr;38 Rue Henri Wallon;38400;ST MARTIN D'HERES ;Oui;Oui
559;IUT;;Non;04 76 82 53 00;secr-ufr-iut@ujf-grenoble.fr;151 rue de la Papeterie  BP 67;38402;ST MARTIN D'HERES ;Non;DUT GTE
560;IUT;;Non;;;151 rue de la Papeterie  BP 67;38402;ST MARTIN D'HERES ;Non;DUT GMP
561;IUT;;Non;;;151 rue de la Papeterie  BP 67;38402;ST MARTIN D'HERES ;Non;DUT GC
562;IUT;;Non;;;151 rue de la Papeterie  BP 67;38402;ST MARTIN D'HERES ;Non;DUT GTR
563;IUT;;Non;;;151 rue de la Papeterie  BP 67;38402;ST MARTIN D'HERES ;Non;DUT GEII
564;IUT;;Non;;;151 rue de la Papeterie  BP 67;38402;ST MARTIN D'HERES ;Non;DUT GEII
565;LYCEE HERRIOT;;Non;04 76 67 02 02;Ce.0380091T@ac-grenoble.fr;Avenue Herriot;38506;VOIRON   ;Oui;Non
566;LT F. BUISSON;30-oct.-13;Non;04 76.05.83.90;ce.0380092U@ac-grenoble.fr;21 Boulevard Edouard Kofler;38506;VOIRON CEDEX  ;Oui;Oui
567;NOTRE DAME DES VICTOIRES;20-déc.-05;Non;04 76 05 07 24;ndv@ac-grenoble.fr;1 Rue de la Terasse;38506;VOIRON cedex  ;Non;Non
568;Lycée Pierre du Terrail;7-avr.-04;Non;04 76 97 64 21 ;Ce.0382270L@ac-grenoble.fr;Avenue du Lycée;38530;PONTCHARRA   ;Oui;Non
569;LycéeJEANNE D'ARC;15-avr.-10;Non;04 74 86 28 38;csjaa@club-internet.fr;2, rue Raymond-Poincaré;38550;LE PEAGE DE ROUSSILLON;Non;Non
570;Lycée STENDHAL;;Non;04 76 54 83 83;ce.0380028z@ac-grenoble.fr;1 Rue Raoul Blanchard;38816;GRENOBLE   ;Non;Non
571;Lycée MONGE;21-avr.-10;Non;04 79 33 39 09;ce.0730016w@ac-grenoble.fr;119 Avenue Marius Berroir;73000;CHAMBERY   ;Oui;Oui
572;Lycée VAUGELAS;19-nov.-07;Non;04 79 62 19 62  ;CE.0730013T@ac-grenoble.fr;10 Rue JP Veyrat;73000;CHAMBERY   ;Non;Non
573;Lycée LOUIS ARMAND;21-avr.-10;Non;04 79 72 30 30;ce.0731248K@ac-grenoble.fr;BP 24 Chambery le Haut;73020;CHAMBERY   ;Oui;Oui
574;Lycée polyvalent Marlioz;;Non;04 79 35 25 09;ce.0730003G@ac-grenoble.fr;Chemin du Lycée;73102;AIX LES BAINS ;Oui;Non
575;LycéeJEANNE D'ARC;10-mars-10;Non;04 79 31 12 28  ;jda73@wanadoo.fr;3 Place de l'Eglise - BP 69;73203;ALBERTVILLE CEDEX  ;Non;Non
576;LEGTA - Reinach formations - Lycée agricole de Savoie;;Non;04 79 25 41 80;legta.la-motte-servolex@educagri.fr;Domaine Reinach;73290;LA MOTTE SERVOLEX ;Oui;Non
577;Lycée technologique et professionnel privé Sainte-Anne - La Savoisienne;8-août-05;Non;04 79 26 09 00;lycee-sainte-anne@fr.oleane.com;39 Montée Saint Jean;73290;LA MOTTE SERVOLEX ;Non;Oui
578;Lycée Paul Héroult;11-oct.-12;Non;04 79.64.10.11;ce.0730037u@ac-grenoble.fr;307 avenue du Mont Cenis;73300;ST JEAN DE MAURIENNE;Non;Non
579;IUT;;Non;04 79 75 81 75 ;alberola@univ-savoie.fr;Savoie Technolac.  Campus Scientifique;73376;LE BOURGET DU LAC;Non;DUT SGM
580;IUT;;Non;04 79 75 81 75 ;;Savoie Technolac.  Campus Scientifique;73376;LE BOURGET DU LAC;Non;DUT SRC
581;Lycée polyvalent René Perrin;28-oct.-15;Non;04 79 37 30 55;ce.0730043A@ac-grenoble.fr;41 rue René Perrin;73400;UGINE   ;S - STI2D;ELEC - IPM
582;Lycée LE GRANIER;;Non;04 79 71 00 10;ce.0731392s@ac-grenoble.fr;185 Avenue Joseph Fontanet;73492;LA RAVOIRE  ;Non;Non
583;Lycée ST MICHEL;6-mars-14;Non;04 50.45.05.20;contact@st-michel.fr;27 Faubourg des Balmettes BP 257;74007;ANNECY CEDEX  ;Oui;Oui
584;LYCEE BERTHOLLET;25-août-04;Non;04 50 51 38 64 ;ce.0740003B@ac-grenoble.fr;9 BD du Lycée - BP 316;74008;ANNECY CEDEX  ;Oui;CPGE 
585;Lycée GABRIEL FAURE;;Non;04 50 45 20 38;faurepro@nos.fr;2 Avenue du Rhône - BP 313;74008;ANNECY CEDEX  ;Non;Non
586;Lycée SAINT FRANCOIS;;Non;04 50 37 76 01;covsfsec@edres74.ac-grenoble.fr;19 Rue Fernand David;74100;VILLE LA GRAND ;Non;Non
587;Lycée Jean Monnet;;Non;04 50 87 18 36;Ce.0741476C@ac-grenoble.fr;1 place de Lattre de Tassigny, Vetraz - Monthoux;74106;ANNEMASSE CEDEX  ;Oui;CPGE 
588;Lycée général et technologique de l'Albanais;19-sept.-14;Non;04 50 01 56 20;0741532N@ac-grenoble.fr;rue du Lycée;74152;RUMILLY CEDEX  ;Oui;Oui
589;Lycée Madame de Staël;19-nov.-07;Non;04 50 49 21 55 ;Ce.0740037N@ac-grenoble.fr;16 Route de Thairy BP 3109;74163;ST JULIEN GENEVOIX ;Oui;Non
590;LP MONT BLANC RENÉ DAYVE;6-déc.-06;Non;04 50 78 14 43;ce.0740027C@ac-grenoble.fr;L'Abbaye;74190;PASSY   ;Oui;Oui
591;Lycée PRIVE ST JOSEPH;6-avr.-04;Non;04 50 71 34 43;secretariat@stjothonon.org;16 avenue d'Evian;74200;THONON LES BAINS ;S - STL;ABM - BC
592;Lycée LA VERGORE;;Non;04 50 71 11 08;ce.0740046y@ac-grenoble.fr;46 Rue Alexandre Jander;74203;THONON LES BAINS ;Non;Non
593;LP CHARLES PONCET;6-déc.-06;Non;04.50.89.36.20  ;ce.0740017s@ac-grenoble.fr;1 Av. Ch. Poncet BP 109;74302;CLUSES Cedex  ;Non;Non
594;IMAA Institut de mécanique aéronautique et automobile;;Non;04 50 44 15 11;ireo.imaa@mfr.asso.fr;720 route des Dronières;74350;CRUSEILLES   ;Non;Oui
595;Lycée LOUIS LACHENAL;25-oct.-06;Non;04 50 27 20 96;lyarglac@edres74.cur-archamps.fr;;;   ;;
596;ECOLE NATIONALE DES INDUSTRIES DU LAIT ET DES VIANDES;;Non;04 50 03 01 03;enilv@educagri.fr;212 rue Anatole France;74800;LA ROCHE SUR FORON;Oui;Non
597;IUT;;Non;04-50-09-22-22;;9 Rue de l'Arc en Ciel   BP 240;74942;ANNECY LE VIEUX ;Non;DUT GEII
598;IUT;;Non;04-50-09-22-22;;9 Rue de l'Arc en Ciel   BP 240;74942;ANNECY LE VIEUX ;Non;DUT GTR
599;IUT;;Non;04-50-09-22-22;; Rue Saint Jean BP78  BP 240;74942;ANNECY LE VIEUX ;Non;DUT OGP
600;IUT;;Non;04-50-09-22-22;;9 Rue de l'Arc en Ciel   BP 240;74942;ANNECY LE VIEUX ;Non;DUT MP
601;IUT;;Non;04-50-09-22-22;;9 Rue de l'Arc en Ciel   BP 240;74942;ANNECY LE VIEUX ;Non;DUT GMP
602;Centre scolaire Saint Paul - Lycée;15/09/2016;Non;03 20 57 32 92;ce.0593114p@ac-lille.fr;25 bis rue Colbert;59000;LILLE   ;Oui;Non
603;Ensemble scolaire privé La Salle - Lycée général;15/09/2016;Non;03 20 93 62 15;ce.0593117t@ac-lille.fr;18 rue St Jean Baptiste de la Salle;59000;LILLE   ;Oui;Non
604;Lycée Baggio;15/09/2016;Non;03 20 88 67 88;ce.0590121l@ac-lille.fr;332 boulevard d'Alsace;59000;LILLE   ;Oui;Oui
605;Lycée Louis Pasteur;15/09/2016;Non;03 20 55 36 50;ce.0590117g@ac-lille.fr;1 rue des Urbanistes;59000;LILLE   ;Oui;Non
606;Lycée privé Averroès;15/09/2016;Non;03 20 00 03 84;ce.0596681s@ac-lille.fr ; lycee_averroes@yahoo.fr;;   ;59000 LILLE;Oui
607;Lycée privé Notre-Dame d'Annay;15/09/2016;Non; 03 20 55 17 75; ce.0593006x@ac-lille.fr ; lycee.notredame.dannay@wanadoo;;   ;59000 LILLE;Oui
608;Lycée privé Thérèse d'Avila;15/09/2016;Non;03 28 36 56 56;ce.0592922f@ac-lille.fr ; acc.lycee@theresedavila.eu;;   ;59003 LILLE;Oui
609;Lycée international Montebello;15/09/2016;Non;03 20 63 33 33;ce.0595867g@ac-lille.fr;196 boulevard Montebello BP 80;59006;LILLE CEDEX  ;Oui;Non
610;Lycée privé Notre-Dame de la paix;15/09/2016;Non;03 20 55 16 56;ce.0593109j@ac-lille.fr;14 place du Concert BP 167;59009;LILLE CEDEX  ;Oui;Non
611;Lycée Fénelon;15/09/2016;Non;03 20 57 21 95;fenelon.lille@gmail.com ;27 rue Alexandre Leleux BP 2028;59013;LILLE CEDEX  ;Oui;Non
612;Lycée Gaston Berger;15/09/2016;Non;03 20 49 31 59;ce.0590258k@ac-lille.fr;Avenue Gaston Berger CS 90069;59016;LILLE CEDEX  ;Non;Oui
613;Lycée Faidherbe;15/09/2016;Non;03 20 60 50 00;ce.0590119j@ac-lille.fr;9 rue Armand Carrel BP 767;59034;LILLE CEDEX  ;Oui;CPGE 
614;Lycée Ozanam;15/09/2016;Non;03 20 21 96 50;lycee@ozanam.eu;50 rue Saint-Gabriel;59045;LILLE CEDEX  ;Oui;Non
615;Lycée polyvalent Jean Moulin;15/09/2016;Non;03 20 81 99 20;ce.0590185f@ac-lille.fr;49 boulevard du Général de Gaulle BP 19;59051;ROUBAIX CEDEX 1 ;Oui;Non
616;Lycée Maxence Van Der Meersch;15/09/2016;Non;03 20 89 43 43;ce.0590181b@ac-lille.fr;1 avenue Maxence Van Der Meersch BP 97;59052;ROUBAIX CEDEX 1 ;Oui;Non
617;Lycée Jean Rostand;15/09/2016;Non;03 20 20 59 30;ce.0590184e@ac-lille.fr;361 Grande Rue BP 90379;59057;ROUBAIX   ;Oui;Non
618;Lycée polyvalent privé Saint-Martin;15/09/2016;Non;03 20 81 98 33;ce.0592963a@ac-lille.fr;54 rue de Lille BP 20709;59062;ROUBAIX   ;Oui;Non
619;Lycée Baudelaire;15/09/2016;Non;03 20 28 00 20;ce.0590182c@ac-lille.fr;23 avenue le Nôtre;59100;ROUBAIX   ;Oui;Non
620;Lycée privé Saint-Rémi;15/09/2016;Non;03 20 89 41 41;ce.0592921e@ac-lille.fr;10 rue N D des Victoires;59100;ROUBAIX   ;Oui;Non
621;Lycée privé Saint-Vincent de Paul;15/09/2016;Non;03 20 07 04 32;ce.0595657d@ac-lille.fr;6 rue du Maréchal Joffre;59120;LOOS   ;Oui;Non
622;Lycée privé Sainte-Odile;15/09/2016;Non;03 20 08 15 50;ce.0593106f@ac-lille.fr;244 avenue de Dunkerque;59130;LAMBERSART   ;Oui;Non
623;Lycée privé Sainte-Marie;15/09/2016;Non;03 20 10 38 44;ce.0592932s@ac-lille.fr;31 rue de l'église BP 27;59134; BEAUCAMPS LIGNY ;Oui;CPGE 
624;Lycée privé Epid;15/09/2016;Non;03 28 29 22 92;ce.0594278e@ac-lille.fr;20 rue de Lille;59140;DUNKERQUE   ;Oui;Oui
625;Lycée privé Notre-Dame des Dunes;15/09/2016;Non;03 28 66 40 10;ce.0593102b@ac-lille.fr;60 rue du Sud;59140;DUNKERQUE   ;Oui;Non
626;Institut privé d'Anchin;15/09/2016;Non;03 27 86 42 54;pecquencourt@cneap.fr;Abbaye d'Anchin - Route de Rieulay;59146;PECQUENCOURT   ;Oui;Non
627;Lycée Marguerite de Flandre;15/09/2016;Non;03 20 90 43 43;ce.0590086y@ac-lille.fr;4 rue du Maréchal Leclerc;59147;GONDECOURT   ;Oui;Non
628;Lycée polyvalent du Pays de Condé;15/09/2016;Non;03 27 09 64 40;ce.0596854e@ac-lille.fr;2 rue Jean Monnet BP 399;59163;CONDÉ SUR L'ESCAUT ;Oui;Oui
629;Lycée privé Saint-Jacques;15/09/2016;Non;03 28 41 98 92;ce.0593136n@ac-lille.fr;58 rue de la sous-Prefecture;59190;HAZEBROUCK   ;Oui;Non
630;EIC Lycée polyvalent privé Jehanne d'Arc;15/09/2016;Non;03 20 28 99 20;ce.0592966d@ac-lille.fr;106 rue de Lille BP 80170;59202;TOURCOING   ;Oui;Non
631;EIC Lycée polyvalent privé industriel et commercial;15/09/2016;Non;03 20 69 93 60;licp@eic-tourcoing.fr;27 rue du Dragon BP 90279;59202;TOURCOING CEDEX  ;Oui;Non
632;Lycée Gambetta;15/09/2016;Non;03 20 69 90 20;ce.0590212k@ac-lille.fr;80 boulevard Gambetta BP 20500;59208;TOURCOING CEDEX  ;Oui;Non
633;Lycée polyvalent Colbert;15/09/2016;Non;03 20 76 12 00;ce.0590214m@ac-lille.fr;2 Parvis Jean-Baptiste Colbert BP 620;59208;TOURCOING CEDEX  ;Oui;Oui
634;Lycée polyvalent Colbert;15/09/2016;Non;03 20 76 12 00;ce.0590214m@ac-lille.fr;2 parvis Jean-Baptiste Colbert BP 620;59208;TOURCOING CEDEX  ;Oui;Oui
635;Institut de Genech;15/09/2016;Non;03 20 84 57 08;genech@cneap.fr;Rue de la Libération;59242;GENECH   ;Oui;A VOIR
636;Lycée polyvalent Charlotte Perriand;15/09/2016;Non;03 20 64 66 20;ce.0596925G@ac-lille.fr;Chateau du Bois;59242;GENECH   ;Oui;Non
637;Lycée privé Saint-Jude;15/09/2016;Non;03 20 77 10 49;e.0592926k@ac-lille.fr;18 rue Lamartine;59280;Armentières   ;Oui;Non
638;Lycée de l'Escaut;15/09/2016;Oui;03 27 22 11 11;ce.0595809u@ac-lille.fr;1 avenue de Saint Amand BP 80229;59305;VALENCIENNES   ;Oui;Oui
639;Lycée polyvalent privé la Sagesse;15/09/2016;Non;03 27 46 27 33;ce.0592967e@ac-lille.fr;lycee.lagessevals@wanadoo.fr;;   ;59306 VALENCIENNES CEDEX  ;Oui
640;Lycée Watteau;15/09/2016;Non;03 27 28 27 00;ce.0590222w@ac-lille.fr;20 boulevard Pater BP 419;59307;VALENCIENNES CEDEX  ;Oui;Non
641;Lycée privé Notre-Dame;15/09/2016;Non;03 27 46 43 50;ce.0593141u@ac-lille.fr;15 rue des Capucins BP 589;59308;VALENCIENNES CEDEX  ;Oui;Non
642;Iut de Valenciennes;29/09/2016;Non;03 27 51 12 61;geii@univ-valenciennes.fr ;Le mont Houy;59313;VALENCIENNES CEDEX  9;Non;DUT GEII
643;Iut de Valenciennes;29/09/2016;Non;03 27 51 12 59;iut-gim@univ-valenciennes.fr ;Le mont Houy;59313;VALENCIENNES CEDEX 9 ;Non;DUT GIM
644;Iut de Valenciennes;29/09/2016;Non;03 27 51 12 57;iut-gmp@univ-valenciennes.fr ;Le mont Houy;59313;VALENCIENNES CEDEX 9 ;Non; DUT GMP
645;Lycée du Hainaut;15/09/2016;Non;03 27 22 95 95;ce.0590223x@ac-lille.fr;1 avenue Villars BP 475;59322;VALENCIENNES CEDEX  ;Oui;Non
646;Lycée Henri Wallon;15/09/2016;Non;03 27 19 30 40;ce.0590221v@ac-lille.fr;16 place de la République BP 435;59322;VALENCIENNES CEDEX  ;Oui;Non
647;Institution Jean Paul II - Lycée Dampierre Valenciennes;15/09/2016;Non;03 27 22 70 00; ce.0592969g@ac-lille.fr;85 avenue de Denain;59326;VALENCIENNES CEDEX  ;Oui;Non
648;Lycée privé du Sacré-Coeur;15/09/2016;Non;03 20 76 98 50;ce.0593139s@ac-lille.fr;111 rue de Lille BP 197;59334;TOURCOING CEDEX  ;Oui;Non
649;Lycée polyvalent Camille Desmoulins;15/09/2016;Non;03 27 84 01 58;ce.0590042a@ac-lille.fr;47 rue de la République BP 30025;59360;LE CATEAU CAMBRESIS ;Oui;Non
650;Lycée privé Sainte-Thérèse;15/09/2016;Non;03 27 56 12 70;ce.0592929n@ac-lille.fr;4 place Guillemin BP 53;59362; AVESNES SUR HELPE;Oui;Non
651;Lycée polyvalent Jessé de Forest;15/09/2016;Non;03 27 56 10 30;ce.0590018z@ac-lille.fr;15 avenue du Pont Rouge BP 215;59363; AVESNES SUR HELPE;Oui;Non
652;Iut du Littoral Côte d'Opale  - Site de Dunkerque - Centre de la Citadelle;29/09/2016;Non;03 28 23 70 40;iutgte@univ-littoral.fr ;220 avenue de l’Université BP 5313;59379;DUNKERQUE CEDEX  ;Non;DUT GTE
653;Lycée Jean Bart;15/09/2016;Non;03 28 24 40 40;ce.0590071g@ac-lille.fr;1 rue du Nouvel Arsenal BP 4522;59383;DUNKERQUE CEDEX  ;Oui;Non
654;Lycée polyvalent Emile Zola;15/09/2016;Non;03 20 99 93 40;ce.0590233h@ac-lille.fr;174 rue de la Baillerie BP 139;59391;WATTRELOS CEDEX  ;Oui;Non
